term,standardized_coefficient
intercept,0.15781703872437386
course_success,0.010846896255403209
avg_successful_units,0.00511916379362407
persistence,0.015528129850473625
completed_30_units,0.004821260226901446
math_english,0.024288114628855346
log_cohort_size,-0.0003657761608341039
