model,cohort_year,size_group,n,mean_residual,mae
linear,19-20,smallest_quartile,28,-0.040065671526420744,0.040065671526420744
linear,19-20,larger,83,-0.03620485346401441,0.040262932860300985
knn,19-20,smallest_quartile,28,-0.028803464285714286,0.032678535714285716
knn,19-20,larger,83,-0.028920343373493976,0.03678725903614459
