split,model,selected_k,mae,rmse,r2,n,knn_minus_linear_mae_ci_low,knn_minus_linear_mae_ci_high
validation_18-19,linear,,0.02502043575625051,0.03125560001175214,0.69186327339983,110,,
validation_18-19,knn,20,0.022191822727272725,0.02796757522410388,0.7532839441611453,110,,
test_19-20,linear,,0.04021317324454742,0.04649004295598707,0.4060670843354659,111,-0.007912458388099786,-0.001133286584463948
test_19-20,knn,20,0.035750824324324325,0.042777251102012095,0.49714445248732964,111,-0.007912458388099786,-0.001133286584463948
