college,cohort_year,analysis_included,complete_case,cohort_size,log_cohort_size,course_success,avg_successful_units,persistence,completed_30_units,math_english,transfer_4yr
College of the Redwoods,15-16,True,True,1113.0,7.01571242048723,0.67701,12.43486,0.65588,0.07457,0.0584,0.14016
College of the Sequoias,15-16,True,True,3392.0,8.129469764784231,0.67025,12.63414,0.69959,0.09287,0.05631,0.15419
College of the Siskiyous,15-16,True,True,479.0,6.173786103901937,0.72778,12.39248,0.62839,0.10021,0.06889,0.17537
Columbia College,15-16,True,True,793.0,6.677083461247136,0.68388,12.07818,0.6343,0.09079,0.06179,0.11223
Compton College,15-16,True,True,1425.0,7.262628600974241,0.62569,8.73123,0.56702,0.04772,0.02667,0.0793
Contra Costa College,15-16,True,True,1693.0,7.434847875211999,0.70225,11.75773,0.57354,0.10868,0.05966,0.15003
Copper Mountain College,15-16,True,True,575.0,6.3561076606958915,0.6702,7.58868,0.6313,0.02261,0.05913,0.12
Cosumnes River College,15-16,True,True,3378.0,8.12533508671429,0.62613,9.39153,0.66755,0.04707,0.04263,0.13914
Crafton Hills College,15-16,True,True,1534.0,7.336285660021297,0.70101,10.99006,0.70991,0.05932,0.06323,0.1545
Cuesta College,15-16,True,True,2319.0,7.749322464660356,0.67656,12.53752,0.68047,0.09013,0.11514,0.18887
Cuyamaca College,15-16,True,True,2264.0,7.725330037917135,0.7428,8.10711,0.64841,0.02694,0.08127,0.15857
Cypress College,15-16,True,True,3755.0,8.231109840328154,0.6981,10.33462,0.73901,0.04501,0.05806,0.15473
De Anza College,15-16,True,False,5933.0,8.688453800850768,0.78532,nan,0.78898,nan,0.15085,0.25518
Diablo Valley College,15-16,True,True,5533.0,8.618666160346871,0.73061,15.00063,0.70884,0.16609,0.12308,0.242
East Los Angeles College,15-16,True,True,6247.0,8.740016691519521,0.64451,10.19433,0.62622,0.06595,0.02737,0.07444
El Camino College,15-16,True,True,5539.0,8.61974977974133,0.67472,12.49513,0.74201,0.09893,0.09063,0.167
Evergreen Valley College,15-16,True,True,2280.0,7.732369222284388,0.68807,7.78399,0.69956,0.03465,0.06491,0.13816
Feather River College,15-16,True,True,541.0,6.295266001439646,0.75913,11.46118,0.56192,0.122,0.08318,0.14972
Folsom Lake College,15-16,True,True,2376.0,7.773594467360194,0.73056,10.59259,0.65404,0.05682,0.0787,0.19992
Foothill College,15-16,True,False,3145.0,8.053887083618223,0.78255,nan,0.6903,nan,0.15358,0.17488
Fresno City College,15-16,True,True,5240.0,8.564267598802166,0.58265,9.74303,0.65725,0.05248,0.05172,0.1126
Fullerton College,15-16,True,True,6186.0,8.73020559553099,0.65615,10.80335,0.74054,0.06078,0.10588,0.16909
Gavilan College,15-16,True,True,1611.0,7.385230923066573,0.67654,6.88051,0.61142,0.03538,0.04469,0.11111
Glendale Community College,15-16,True,True,4570.0,8.427487278331744,0.70089,14.65492,0.74792,0.15033,0.08359,0.20569
Golden West College,15-16,True,True,2923.0,7.980707820869669,0.64778,11.05799,0.71057,0.06363,0.09819,0.19808
Grossmont College,15-16,True,True,4648.0,8.444407421690585,0.68697,10.71741,0.71536,0.0497,0.07853,0.16502
Hartnell College,15-16,True,True,2739.0,7.9157131993821155,0.70607,9.85057,0.56407,0.09127,0.07631,0.12851
Imperial Valley College,15-16,True,True,2216.0,7.7039102096163115,0.66285,11.37274,0.74143,0.08709,0.03791,0.12545
Irvine Valley College,15-16,True,True,3717.0,8.220941168281389,0.70647,13.66801,0.7732,0.14878,0.13532,0.24966
Lake Tahoe Community College,15-16,True,False,724.0,6.586171654854675,0.7001,nan,0.44337,nan,0.03039,0.06768
Laney College,15-16,True,True,2460.0,7.8083230503910555,0.66355,8.05549,0.5439,0.03902,0.0439,0.11829
Las Positas College,15-16,True,True,2516.0,7.830822995135316,0.71533,11.14736,0.7186,0.08068,0.09936,0.22695
Lassen College,15-16,True,True,1379.0,7.22983877815125,0.70239,5.89123,0.27556,0.03626,0.01233,0.03988
Lemoore College,15-16,True,True,1187.0,7.080026499922591,0.69868,12.58088,0.71862,0.10278,0.08003,0.1508
Long Beach City College,15-16,True,True,5923.0,8.68676717538769,0.58998,9.56762,0.72666,0.0493,0.04694,0.1143
Los Angeles City College,15-16,True,True,3270.0,8.092851027538384,0.66126,9.12974,0.59817,0.04128,0.01774,0.07462
Los Angeles Harbor College,15-16,True,True,2018.0,7.610357618312838,0.63626,10.9943,0.65709,0.06838,0.03072,0.12934
Los Angeles ITV,15-16,False,False,211.0,5.356586274672012,0.54242,3.18957,0.1327,0.0,nan,0.10427
Los Angeles Mission College,15-16,True,True,2214.0,7.703007682479236,0.62654,8.62827,0.61337,0.03342,0.02213,0.07362
Los Angeles Pierce College,15-16,True,True,4779.0,8.472195825485501,0.66771,11.17661,0.66876,0.07638,0.03557,0.15129
Los Angeles Southwest College,15-16,True,True,1265.0,7.143617602704121,0.56786,8.56759,0.55889,0.05455,0.01344,0.06087
Los Angeles Trade-Tech College,15-16,True,False,3848.0,8.255568653283746,0.65759,7.50338,0.48779,0.02339,nan,0.02313
Los Angeles Valley College,15-16,True,True,3762.0,8.232971790593437,0.66513,8.82436,0.61669,0.05077,0.02233,0.11643
Los Medanos College,15-16,True,True,2750.0,7.919719760924575,0.67696,11.12073,0.63127,0.07455,0.10218,0.15127
Mendocino College,15-16,True,True,1085.0,6.990256500493881,0.67344,10.53963,0.61382,0.07465,0.05991,0.08848
Merced College,15-16,True,True,2811.0,7.941651252930556,0.66537,9.12504,0.75952,0.0498,0.06083,0.14052
Merritt College,15-16,True,True,1179.0,7.07326971745971,0.59329,6.46438,0.45802,0.01357,0.03138,0.09584
MiraCosta College,15-16,True,True,3580.0,8.183397369998433,0.68935,11.63673,0.70279,0.07011,0.08939,0.19581
Mission College,15-16,True,True,1769.0,7.478734825567875,0.7194,8.30384,0.62973,0.04353,0.06049,0.13058
Modesto Junior College,15-16,True,True,4759.0,8.468002947225466,0.62574,11.15308,0.6991,0.07922,0.01303,0.11578
Monterey Peninsula College,15-16,True,True,1895.0,7.547501682814967,0.70175,10.45699,0.5715,0.08127,0.0591,0.14037
Moorpark College,15-16,True,True,3438.0,8.142936010432265,0.73813,16.28912,0.78127,0.16172,0.15474,0.32228
Moreno Valley College,15-16,True,True,2266.0,7.726212650507529,0.65364,8.50099,0.56531,0.04501,0.02339,0.09797
Mt. San Antonio College,15-16,True,True,6941.0,8.845345196421732,0.69314,12.84678,0.77165,0.10949,0.04855,0.16828
Mt. San Jacinto College,15-16,True,True,4447.0,8.400209835930418,0.6522,11.46953,0.70834,0.06679,0.05869,0.13942
Napa Valley College,15-16,True,True,1728.0,7.455298485683291,0.71792,9.23119,0.63252,0.03819,0.09317,0.15509
Norco College,15-16,True,True,2409.0,7.787382026484701,0.69594,10.38149,0.68659,0.06476,0.06559,0.15899
Ohlone College,15-16,True,True,2480.0,7.816416983691801,0.74435,10.55202,0.65968,0.09113,0.09032,0.20242
Orange Coast College,15-16,True,True,5513.0,8.615045591583742,0.68603,13.09015,0.76329,0.08308,0.1179,0.22148
Oxnard College,15-16,True,True,1599.0,7.3777589082278725,0.67261,10.98155,0.70544,0.05879,0.07755,0.13008
Palo Verde College,15-16,True,False,1489.0,7.306531398939505,0.60255,5.18603,0.38684,0.01276,nan,0.01007
Palomar College,15-16,True,True,6039.0,8.706159290928861,0.68382,11.88193,0.70475,0.08064,0.05034,0.14406
Pasadena City College,15-16,True,True,6780.0,8.821879862683842,0.69418,14.07876,0.78437,0.12994,0.09027,0.21386
Porterville College,15-16,True,True,1187.0,7.080026499922591,0.65691,8.85678,0.70008,0.03117,0.05897,0.13648
Reedley College,15-16,True,True,2554.0,7.845807502637805,0.61411,10.04307,0.67698,0.05951,0.03955,0.14056
Rio Hondo College,15-16,True,True,4322.0,8.371704884667631,0.63981,8.28593,0.66636,0.03309,0.01758,0.08306
Riverside City College,15-16,True,True,5181.0,8.552946361122055,0.63317,10.17535,0.68577,0.06041,0.03725,0.12758
Sacramento City College,15-16,True,True,5131.0,8.543250725735527,0.62603,8.12005,0.57611,0.04249,0.03235,0.1146
Saddleback College,15-16,True,True,4641.0,8.442900586834382,0.72036,13.04789,0.73002,0.11312,0.10623,0.22409
San Bernardino Valley College,15-16,True,True,2967.0,7.995643604287271,0.6334,8.9149,0.67543,0.03303,0.02292,0.09302
San Diego City College,15-16,True,True,3804.0,8.244071270295786,0.65945,7.44164,0.6346,0.01814,0.03759,0.10463
San Diego Mesa College,15-16,True,True,5651.0,8.639764743804419,0.69619,8.74128,0.63033,0.043,0.08282,0.16811
San Diego Miramar College,15-16,True,True,2764.0,7.9247959139564355,0.73179,8.3949,0.60999,0.02533,0.09841,0.17475
San Joaquin Delta College,15-16,True,True,4445.0,8.399760094524142,0.63181,11.56232,0.71901,0.08886,0.04207,0.12733
San Jose City College,15-16,True,True,1748.0,7.466799475018602,0.6933,8.32208,0.627,0.05721,0.04062,0.10412
Santa Ana College,15-16,True,True,5162.0,8.54927308487965,0.67244,8.80428,0.54301,0.05734,0.05754,0.08892
Santa Barbara City College,15-16,True,True,4534.0,8.419580362549237,0.73187,15.71932,0.72717,0.14998,0.09572,0.21306
Santa Monica College,15-16,True,True,8142.0,9.004913941467132,0.68307,12.91341,0.76517,0.10931,0.07603,0.1776
Santa Rosa Junior College,15-16,True,True,4668.0,8.448700194970938,0.68455,11.81266,0.67931,0.08826,0.07412,0.14546
Santiago Canyon College,15-16,True,True,2748.0,7.918992488165245,0.68318,11.06801,0.74017,0.08224,0.13392,0.19833
Shasta College,15-16,True,True,2890.0,7.969357742016346,0.70852,10.809,0.65121,0.07716,0.05848,0.15467
Sierra College,15-16,True,True,4733.0,8.46252579007393,0.70384,12.68825,0.73442,0.0824,0.12043,0.19079
Skyline College,15-16,True,True,1921.0,7.561121589530238,0.74132,12.48308,0.6861,0.11036,0.09162,0.21395
Solano Community College,15-16,True,True,2575.0,7.853993087224244,0.65397,10.09243,0.6532,0.06291,0.09515,0.13049
Southwestern College,15-16,True,True,4415.0,8.392989587956931,0.65903,10.68267,0.74292,0.05957,0.03216,0.12367
Taft College,15-16,True,True,1186.0,7.079184394609668,0.79181,9.6129,0.4747,0.09865,0.0312,0.11298
Ventura College,15-16,True,True,2872.0,7.96311205897929,0.70688,14.33879,0.71483,0.13162,0.10655,0.20021
Victor Valley College,15-16,True,True,3729.0,8.224163512637862,0.61304,10.12966,0.6723,0.05953,0.03379,0.09922
West Los Angeles College,15-16,True,True,2044.0,7.623153068476902,0.64478,10.02458,0.58268,0.06018,0.02006,0.09002
West Valley College,15-16,True,True,1880.0,7.53955882930103,0.71805,12.21117,0.7133,0.09628,0.11011,0.23777
Woodland Community College,15-16,True,True,817.0,6.706862336602747,0.67733,8.32497,0.62424,0.02815,0.03794,0.11628
Yuba College,15-16,True,True,1960.0,7.581209826196346,0.66727,10.37398,0.63469,0.05969,0.03673,0.14592
Allan Hancock College,16-17,True,True,2774.0,7.928406026180535,0.67308,11.96107,0.7062,0.09373,0.09445,0.13771
American River College,16-17,True,True,6092.0,8.714895850248494,0.71628,7.81327,0.6868,0.03234,0.03956,0.09537
Antelope Valley College,16-17,True,True,3559.0,8.177515823846075,0.68477,10.61042,0.72296,0.06912,0.06743,0.12925
Bakersfield College,16-17,True,True,5883.0,8.679992081721329,0.59993,9.23457,0.69318,0.04352,0.04012,0.12018
Barstow College,16-17,True,True,901.0,6.804614520062624,0.72603,11.78801,0.60599,0.0899,0.03996,0.1576
Berkeley City College,16-17,True,True,1482.0,7.301822342137932,0.62058,9.80331,0.58704,0.04049,0.12348,0.19568
Butte College,16-17,True,True,2765.0,7.925157512224703,0.68941,14.05036,0.7396,0.10597,0.10271,0.19277
Cabrillo College,16-17,True,True,2423.0,7.793174347189205,0.69791,11.66735,0.70532,0.07057,0.06934,0.14899
Canada College,16-17,True,True,1274.0,7.150701457592526,0.66592,7.66052,0.60832,0.05024,0.10832,0.13972
Cerritos College,16-17,True,True,4926.0,8.502485562543963,0.67143,10.12698,0.73346,0.05258,0.03329,0.11713
Cerro Coso Community College,16-17,True,True,1170.0,7.065613363597717,0.64984,8.42479,0.4735,0.04359,0.03333,0.09915
Chabot College,16-17,True,True,3259.0,8.089482474360754,0.65856,9.53498,0.66217,0.05891,0.06413,0.14237
Chaffey College,16-17,True,True,6105.0,8.717027173294824,0.65126,10.83931,0.72154,0.05127,0.04242,0.12465
Citrus College,16-17,True,True,3096.0,8.038189179973203,0.6831,12.96867,0.76324,0.11757,0.07687,0.18346
City College of San Francisco,16-17,True,True,4433.0,8.397057390176256,0.74237,10.20708,0.63388,0.06,0.05436,0.134
Clovis Community College,16-17,True,True,2040.0,7.621195162809845,0.70775,14.23701,0.725,0.13578,0.16471,0.29412
Coalinga College,16-17,True,True,1240.0,7.123672785204607,0.65759,9.82177,0.69274,0.0371,0.05887,0.19194
Coastline Community College,16-17,True,True,2586.0,7.8582541821860294,0.58433,6.20476,0.45592,0.02011,0.02243,0.0611
College of Alameda,16-17,True,True,1087.0,6.992096427415888,0.69638,8.0299,0.51978,0.03036,0.08648,0.14351
College of Marin,16-17,True,True,1187.0,7.080026499922591,0.71359,8.93892,0.62089,0.05223,0.05644,0.15586
College of San Mateo,16-17,True,True,2196.0,7.69484807238461,0.70203,12.45993,0.71676,0.09927,0.13752,0.21357
College of the Canyons,16-17,True,True,4084.0,8.315077007294104,0.71019,13.42184,0.71254,0.11263,0.12218,0.2047
College of the Desert,16-17,True,True,2874.0,7.963807953231451,0.67331,10.50887,0.70633,0.04523,0.02749,0.12665
College of the Redwoods,16-17,True,True,1133.0,7.033506484287697,0.64671,11.86717,0.66549,0.07326,0.05119,0.11121
College of the Sequoias,16-17,True,True,3396.0,8.130647968160584,0.68921,13.12161,0.70878,0.09276,0.06419,0.154
College of the Siskiyous,16-17,True,True,505.0,6.226536669287466,0.67829,13.10891,0.59604,0.12277,0.1802,0.16634
Columbia College,16-17,True,True,835.0,6.728628613084702,0.71057,11.80659,0.60599,0.08503,0.05509,0.13533
Compton College,16-17,True,True,1392.0,7.239214973779806,0.63921,9.15266,0.56753,0.04813,0.02299,0.08046
Contra Costa College,16-17,True,True,1241.0,7.124478262493424,0.65438,7.49257,0.60677,0.02498,0.04593,0.09589
Copper Mountain College,16-17,True,True,512.0,6.240275845170769,0.72036,8.37238,0.63477,0.0332,0.06445,0.14063
Cosumnes River College,16-17,True,True,3407.0,8.133880887949207,0.64,10.04814,0.69592,0.05107,0.05107,0.145
Crafton Hills College,16-17,True,True,1432.0,7.267525427828172,0.69796,11.21753,0.70042,0.06355,0.07472,0.17528
Cuesta College,16-17,True,True,2174.0,7.684783943522785,0.66917,13.23183,0.68767,0.11178,0.11454,0.19917
Cuyamaca College,16-17,True,True,2110.0,7.65491704784832,0.72145,8.491,0.65592,0.02322,0.11706,0.17915
Cypress College,16-17,True,True,3291.0,8.09925056179696,0.70829,10.60605,0.73108,0.04588,0.07201,0.16408
De Anza College,16-17,True,False,5687.0,8.646113971483077,0.78476,nan,0.77721,nan,0.13698,0.24477
Diablo Valley College,16-17,True,True,4714.0,8.458504195067558,0.73843,15.04883,0.7378,0.1661,0.15655,0.25753
East Los Angeles College,16-17,True,True,6285.0,8.746080217357513,0.66369,10.28321,0.61973,0.06555,0.028,0.08194
El Camino College,16-17,True,True,5659.0,8.641179171197228,0.68969,12.86694,0.73087,0.10638,0.09913,0.17212
Evergreen Valley College,16-17,True,True,2311.0,7.7458682297922685,0.68616,7.48572,0.68801,0.03072,0.06794,0.13717
Feather River College,16-17,True,True,465.0,6.144185634125646,0.83826,13.72366,0.5957,0.16989,0.13548,0.20645
Folsom Lake College,16-17,True,True,2382.0,7.776115477098742,0.73129,10.73825,0.65995,0.05626,0.07767,0.18682
Foothill College,16-17,True,False,3140.0,8.052296499538647,0.78667,nan,0.64904,nan,0.14427,0.16178
Fresno City College,16-17,True,True,5620.0,8.634264863002075,0.60267,10.79431,0.64591,0.06868,0.06423,0.13007
Fullerton College,16-17,True,True,5828.0,8.67060073804555,0.6447,10.86968,0.72718,0.0664,0.11548,0.17708
Gavilan College,16-17,True,True,1388.0,7.236339342754344,0.64989,9.17759,0.64841,0.05548,0.06412,0.14481
Glendale Community College,16-17,True,True,3992.0,8.292298107063221,0.73013,13.47169,0.7505,0.13702,0.1022,0.21042
Golden West College,16-17,True,True,2595.0,7.86172707782398,0.66115,11.46561,0.68786,0.07746,0.11329,0.18844
Grossmont College,16-17,True,True,4335.0,8.374707543119483,0.67587,10.8534,0.71488,0.04752,0.09343,0.15894
Hartnell College,16-17,True,True,2974.0,7.99799931797973,0.71579,10.74835,0.60625,0.09247,0.07801,0.1577
Imperial Valley College,16-17,True,True,2365.0,7.768956044538332,0.69318,11.89619,0.77548,0.09514,0.04989,0.13953
Irvine Valley College,16-17,True,True,3576.0,8.182279739259018,0.71251,14.25573,0.77545,0.15185,0.16191,0.25308
Lake Tahoe Community College,16-17,True,False,597.0,6.393590753950631,0.69262,nan,0.50419,nan,0.03518,0.0804
Laney College,16-17,True,True,2118.0,7.6586995582682995,0.66543,7.56303,0.54297,0.03399,0.03872,0.1034
Las Positas College,16-17,True,True,2408.0,7.786967002614872,0.7125,11.65357,0.7309,0.08513,0.13621,0.23671
Lassen College,16-17,True,True,1391.0,7.238496840894365,0.70254,5.89684,0.26887,0.0381,0.02229,0.0417
Lemoore College,16-17,True,True,1245.0,7.1276936993473985,0.71728,13.20241,0.73253,0.10843,0.07711,0.18635
Long Beach City College,16-17,True,True,5714.0,8.65084957622891,0.58876,9.98512,0.72419,0.0497,0.0567,0.11901
Los Angeles City College,16-17,True,True,2616.0,7.869783902530146,0.66485,9.3685,0.56537,0.04893,0.02255,0.08257
Los Angeles Harbor College,16-17,True,True,1724.0,7.45298232946546,0.65363,10.97912,0.64849,0.07425,0.0435,0.12471
Los Angeles ITV,16-17,False,False,182.0,5.209486152841421,0.59353,3.43956,0.17033,0.0,nan,nan
Los Angeles Mission College,16-17,True,True,1972.0,7.587310506022615,0.64009,9.00659,0.61105,0.04006,0.03043,0.09077
Los Angeles Pierce College,16-17,True,True,4640.0,8.442685139241176,0.69671,11.72166,0.67694,0.08448,0.0444,0.17069
Los Angeles Southwest College,16-17,True,True,1110.0,7.01301578963963,0.57885,8.69685,0.54505,0.05495,0.01441,0.07748
Los Angeles Trade-Tech College,16-17,True,True,3468.0,8.15162164696975,0.65541,7.54181,0.46396,0.02191,0.00404,0.02307
Los Angeles Valley College,16-17,True,True,3571.0,8.18088094199639,0.66444,9.60193,0.60151,0.05069,0.03472,0.12938
Los Medanos College,16-17,True,True,2411.0,7.788211557847076,0.67505,10.91373,0.64662,0.05807,0.12775,0.15305
Mendocino College,16-17,True,True,1019.0,6.927557906278317,0.69967,10.42002,0.57213,0.06575,0.04416,0.09912
Merced College,16-17,True,True,2835.0,7.950149887652018,0.64699,9.62822,0.72487,0.05996,0.07231,0.15062
Merritt College,16-17,True,True,1190.0,7.0825485693553,0.61064,6.76261,0.49328,0.01261,0.04034,0.09328
MiraCosta College,16-17,True,True,3408.0,8.134174272137903,0.71822,12.83289,0.72506,0.08627,0.10974,0.21978
Mission College,16-17,True,True,1664.0,7.417580402414544,0.76225,8.20042,0.58233,0.03666,0.05529,0.12019
Modesto Junior College,16-17,True,True,4812.0,8.47907586930311,0.66056,11.91241,0.71135,0.08707,0.0212,0.13965
Monterey Peninsula College,16-17,True,True,2171.0,7.683403681053826,0.71125,9.67227,0.49378,0.08936,0.06126,0.12897
Moorpark College,16-17,True,True,3494.0,8.15908865466791,0.74297,16.97152,0.79136,0.17373,0.17029,0.32656
Moreno Valley College,16-17,True,True,2299.0,7.7406644019172415,0.63348,8.95966,0.57938,0.04872,0.03393,0.12005
Mt. San Antonio College,16-17,True,True,6617.0,8.797548488481558,0.69079,11.38688,0.76787,0.07723,0.05728,0.16745
Mt. San Jacinto College,16-17,True,True,4573.0,8.428143374582726,0.65621,12.06932,0.71857,0.07129,0.08506,0.15373
Napa Valley College,16-17,True,True,1634.0,7.399398083331354,0.71502,10.02417,0.6683,0.0563,0.11812,0.16034
Norco College,16-17,True,True,2438.0,7.79934339821592,0.66806,10.63454,0.66653,0.06727,0.0726,0.16161
Ohlone College,16-17,True,True,2503.0,7.825644732219989,0.76398,11.45445,0.6648,0.09988,0.10308,0.21774
Orange Coast College,16-17,True,True,5265.0,8.569026340056254,0.68883,12.41434,0.76353,0.06933,0.12422,0.21842
Oxnard College,16-17,True,True,1556.0,7.350516171833998,0.68423,11.1099,0.69987,0.05784,0.08226,0.12596
Palo Verde College,16-17,True,False,1071.0,6.977281341630747,0.62907,6.29435,0.4127,0.02148,nan,0.01681
Palomar College,16-17,True,True,6147.0,8.723882104658486,0.67422,10.99829,0.66455,0.06751,0.04425,0.13242
Pasadena City College,16-17,True,True,6559.0,8.788745881938135,0.71679,15.21215,0.78899,0.16283,0.11313,0.22869
Porterville College,16-17,True,True,1111.0,7.013915474810528,0.68134,11.10666,0.70657,0.06751,0.09541,0.18092
Reedley College,16-17,True,True,3131.0,8.049427057110695,0.66467,11.76461,0.66337,0.08112,0.03992,0.15746
Rio Hondo College,16-17,True,True,4177.0,8.33758794211651,0.63968,9.76543,0.68757,0.0498,0.03783,0.11037
Riverside City College,16-17,True,True,5429.0,8.599694412927981,0.62672,10.07718,0.66826,0.06576,0.03813,0.13778
Sacramento City College,16-17,True,True,4511.0,8.414495793177895,0.62879,8.51175,0.57903,0.05076,0.03857,0.12237
Saddleback College,16-17,True,True,4632.0,8.440959885416648,0.72013,13.20137,0.72755,0.11766,0.09693,0.22841
San Bernardino Valley College,16-17,True,True,3128.0,8.048468743668883,0.63376,8.7329,0.66816,0.03932,0.02653,0.0876
San Diego City College,16-17,True,True,3644.0,8.201111644442758,0.66087,7.40862,0.60483,0.0225,0.05049,0.11169
San Diego Mesa College,16-17,True,True,4292.0,8.36474106822456,0.69509,10.63257,0.67707,0.05895,0.12022,0.2055
San Diego Miramar College,16-17,True,True,2766.0,7.925518979786926,0.74827,9.54559,0.63774,0.04772,0.12039,0.2086
San Joaquin Delta College,16-17,True,True,4446.0,8.399984990510696,0.6508,12.04431,0.7247,0.10121,0.04701,0.139
San Jose City College,16-17,True,True,1611.0,7.385230923066573,0.70147,8.53973,0.63811,0.04904,0.04593,0.09621
Santa Ana College,16-17,True,True,5319.0,8.57922858233569,0.63747,8.89535,0.56571,0.05791,0.05941,0.08629
Santa Barbara City College,16-17,True,True,3968.0,8.286269452783065,0.74028,15.97152,0.73236,0.15827,0.1313,0.22833
Santa Monica College,16-17,True,True,7774.0,8.958668737047434,0.68099,13.21051,0.75367,0.11963,0.09082,0.18498
Santa Rosa Junior College,16-17,True,True,4321.0,8.371473537066832,0.69234,12.50584,0.69637,0.09604,0.07869,0.1495
Santiago Canyon College,16-17,True,True,3023.0,8.014335737299424,0.65756,10.74704,0.72742,0.07244,0.13265,0.18889
Shasta College,16-17,True,True,2628.0,7.874358824729881,0.70167,9.37709,0.52245,0.06126,0.06202,0.13128
Sierra College,16-17,True,True,4560.0,8.4252971767117,0.71775,13.57763,0.73772,0.10285,0.15702,0.21908
Skyline College,16-17,True,True,1809.0,7.501082124259871,0.71944,12.26451,0.68712,0.09674,0.11056,0.20564
Solano Community College,16-17,True,True,2479.0,7.8160138391590275,0.66864,11.03328,0.64542,0.08269,0.10811,0.16458
Southwestern College,16-17,True,True,4905.0,8.498214224818435,0.66491,10.40632,0.72212,0.05443,0.04383,0.14128
Taft College,16-17,True,True,1300.0,7.170888478512505,0.7924,9.11365,0.49308,0.08154,0.03923,0.10538
Ventura College,16-17,True,True,3000.0,8.006700845440367,0.72171,14.95517,0.74633,0.13,0.13333,0.20367
Victor Valley College,16-17,True,True,3681.0,8.211211361793023,0.59795,10.38563,0.65281,0.06792,0.03233,0.10052
West Los Angeles College,16-17,True,True,1938.0,7.569927655242652,0.65644,9.61649,0.54696,0.06656,0.01806,0.09598
West Valley College,16-17,True,True,1787.0,7.488852955733459,0.70374,11.16144,0.68942,0.07722,0.11304,0.23951
Woodland Community College,16-17,True,True,1226.0,7.112327444710911,0.66554,7.31117,0.70718,0.01713,0.02529,0.10196
Yuba College,16-17,True,True,1648.0,7.407924322559599,0.66164,11.13198,0.66383,0.06857,0.03641,0.15291
Allan Hancock College,17-18,True,True,2567.0,7.850882664809852,0.65996,12.20725,0.6864,0.10557,0.10713,0.15037
American River College,17-18,True,True,6376.0,8.760453046315272,0.73349,8.08693,0.68915,0.03827,0.03999,0.10696
Antelope Valley College,17-18,True,True,3736.0,8.226038429485484,0.69528,10.64507,0.70664,0.06611,0.0621,0.12366
Bakersfield College,17-18,True,True,6002.0,8.700014623251842,0.61295,10.21293,0.70093,0.06931,0.04815,0.13246
Barstow College,17-18,True,True,800.0,6.68586094706836,0.72736,12.68813,0.62875,0.1125,0.085,0.17375
Berkeley City College,17-18,True,True,1272.0,7.149131598557407,0.65423,9.87814,0.58805,0.04245,0.1195,0.19182
Butte College,17-18,True,True,2500.0,7.824445930877619,0.67541,14.0397,0.6976,0.0956,0.118,0.1624
Cabrillo College,17-18,True,True,2381.0,7.775695749915245,0.69826,11.99423,0.71063,0.07308,0.06846,0.16086
Canada College,17-18,True,True,1111.0,7.013915474810528,0.66865,8.15212,0.60846,0.05851,0.12511,0.17192
Cerritos College,17-18,True,True,4809.0,8.478452363099807,0.66381,10.3482,0.72718,0.05802,0.04471,0.12477
Cerro Coso Community College,17-18,True,True,1314.0,7.181591944611865,0.67085,9.62253,0.51065,0.06469,0.03957,0.09361
Chabot College,17-18,True,True,3168.0,8.06117135969092,0.66836,9.61016,0.6774,0.05934,0.05997,0.14362
Chaffey College,17-18,True,True,5978.0,8.696008608880904,0.65347,10.76121,0.69237,0.06474,0.04667,0.12964
Citrus College,17-18,True,True,3219.0,8.077136638538454,0.69477,13.78844,0.74122,0.13948,0.10904,0.18795
City College of San Francisco,17-18,True,True,5597.0,8.630164670075398,0.72102,10.24781,0.61551,0.06986,0.06432,0.11488
Clovis Community College,17-18,True,True,2090.0,7.645397699428633,0.69181,13.0122,0.69234,0.111,0.15072,0.26507
Coalinga College,17-18,True,True,883.0,6.784457062637643,0.67742,11.61863,0.67724,0.08154,0.04417,0.21065
Coastline Community College,17-18,True,True,2269.0,7.727535110475448,0.65481,6.90436,0.46849,0.02512,0.02644,0.07272
College of Alameda,17-18,True,True,1025.0,6.933423025730715,0.65303,7.19512,0.49366,0.02927,0.07512,0.13854
College of Marin,17-18,True,True,1158.0,7.055312843339752,0.69157,9.23359,0.62435,0.05527,0.05786,0.14767
College of San Mateo,17-18,True,True,2103.0,7.651595573857601,0.70253,12.62435,0.68569,0.11365,0.15787,0.24631
College of the Canyons,17-18,True,True,3913.0,8.272315147956022,0.73286,16.04522,0.73524,0.18732,0.17199,0.24355
College of the Desert,17-18,True,True,3188.0,8.067462667010057,0.64071,10.58532,0.70263,0.05207,0.03733,0.12578
College of the Redwoods,17-18,True,True,990.0,6.898714534329988,0.67979,12.01616,0.65859,0.07374,0.06869,0.13131
College of the Sequoias,17-18,True,True,3488.0,8.157370441186774,0.69621,14.17274,0.72678,0.125,0.07511,0.18005
College of the Siskiyous,17-18,True,True,520.0,6.255750041753367,0.7111,15.04712,0.66346,0.15385,0.25577,0.20962
Columbia College,17-18,True,True,779.0,6.659293919683638,0.70539,10.53273,0.56483,0.07189,0.04365,0.12837
Compton College,17-18,True,True,1195.0,7.086737934510577,0.653,9.45941,0.559,0.06276,0.02427,0.07782
Contra Costa College,17-18,True,True,1321.0,7.186901020411631,0.63841,8.11213,0.57002,0.03709,0.05829,0.08933
Copper Mountain College,17-18,True,True,601.0,6.400257445308821,0.72797,8.37185,0.66722,0.03161,0.05491,0.18968
