college,cohort_year,analysis_included,complete_case,cohort_size,log_cohort_size,course_success,avg_successful_units,persistence,completed_30_units,math_english,transfer_4yr
Mt. San Jacinto College,19-20,True,True,4585.0,8.43076346341785,0.74151,12.47503,0.67415,0.0988,0.21243,0.1651
Napa Valley College,19-20,True,True,1337.0,7.198931240688173,0.70736,12.67165,0.67689,0.10471,0.19746,0.18848
Norco College,19-20,True,True,2584.0,7.85748078694253,0.73169,11.98355,0.625,0.0952,0.13313,0.17724
Ohlone College,19-20,True,True,1801.0,7.496652438168283,0.79365,15.81399,0.73903,0.201,0.3126,0.27041
Orange Coast College,19-20,True,True,4612.0,8.43663368355782,0.75273,13.81526,0.73395,0.10993,0.20598,0.232
Oxnard College,19-20,True,True,1865.0,7.531552381407289,0.73089,12.81099,0.70188,0.10456,0.18177,0.15174
Palo Verde College,19-20,True,True,1022.0,6.930494765951626,0.68914,6.57216,0.43053,0.0137,0.01174,0.01957
Palomar College,19-20,True,True,5908.0,8.684231891345675,0.68713,12.93737,0.66825,0.109,0.09546,0.17908
Pasadena City College,19-20,True,True,6136.0,8.722091302389098,0.78679,17.23305,0.75847,0.22914,0.28341,0.26125
Porterville College,19-20,True,True,1103.0,7.00669522683704,0.68347,14.57978,0.70626,0.15684,0.19402,0.15503
Reedley College,19-20,True,True,2562.0,7.848933726364071,0.64638,12.72092,0.64754,0.12139,0.15535,0.15769
Rio Hondo College,19-20,True,True,4264.0,8.35819745992578,0.688,11.69586,0.70568,0.09029,0.12289,0.1114
Riverside City College,19-20,True,True,5835.0,8.671800909642677,0.68234,12.21063,0.65433,0.12356,0.10386,0.15236
Sacramento City College,19-20,True,True,4194.0,8.341648618901306,0.70852,10.5068,0.61421,0.067,0.12637,0.15212
Saddleback College,19-20,True,True,4622.0,8.438799123988225,0.76529,15.39521,0.70705,0.17676,0.21095,0.2672
San Bernardino Valley College,19-20,True,True,3646.0,8.20166019080868,0.61862,10.82639,0.63549,0.08969,0.113,0.08557
San Diego City College,19-20,True,True,3277.0,8.094988759303774,0.71738,9.33003,0.60879,0.03814,0.10467,0.14648
San Diego Mesa College,19-20,True,True,4394.0,8.388222810119277,0.7691,12.63211,0.70596,0.09604,0.19254,0.24488
San Diego Miramar College,19-20,True,True,3420.0,8.137688184977605,0.80664,12.22678,0.71316,0.0769,0.17632,0.30556
San Joaquin Delta College,19-20,True,True,6505.0,8.780480107033297,0.69139,16.06518,0.71284,0.1854,0.07241,0.21814
San Jose City College,19-20,True,True,1887.0,7.543273346705446,0.69451,9.61659,0.58506,0.06836,0.11076,0.12507
Santa Ana College,19-20,True,True,4326.0,8.372629740224884,0.62099,10.01107,0.56334,0.0883,0.11165,0.09015
Santa Barbara City College,19-20,True,True,3550.0,8.174984532943087,0.74767,18.93017,0.7262,0.24901,0.25606,0.25606
Santa Monica College,19-20,True,True,7136.0,8.873047798971067,0.73377,15.69815,0.73963,0.18063,0.16017,0.20908
Santa Rosa Junior College,19-20,True,True,4084.0,8.315077007294104,0.69147,13.25043,0.66332,0.12414,0.10798,0.16283
Santiago Canyon College,19-20,True,True,2875.0,7.964155718840937,0.69212,13.6353,0.64278,0.16696,0.2007,0.19548
Shasta College,19-20,True,True,1711.0,7.445417556701687,0.64823,13.69287,0.61192,0.13968,0.10345,0.13676
Sierra College,19-20,True,True,4628.0,8.44009614103127,0.72082,15.76318,0.72731,0.18647,0.2204,0.23617
Skyline College,19-20,True,True,1636.0,7.400620577371135,0.77045,16.01039,0.67298,0.2011,0.22738,0.26895
Solano Community College,19-20,True,True,2331.0,7.754481547470383,0.71139,13.54462,0.63921,0.13471,0.15015,0.15401
Southwestern College,19-20,True,True,4649.0,8.444622498581403,0.71166,12.64379,0.72682,0.09766,0.11787,0.14691
Taft College,19-20,True,True,1096.0,7.00033446027523,0.74784,11.47217,0.54927,0.125,0.06661,0.12865
Ventura College,19-20,True,True,2836.0,7.950502434808851,0.75854,15.70892,0.70698,0.18512,0.2426,0.22461
Victor Valley College,19-20,True,True,3490.0,8.157943507105037,0.67188,11.1149,0.60172,0.08997,0.13123,0.09857
West Los Angeles College,19-20,True,True,1867.0,7.532623618788788,0.69212,10.91136,0.53937,0.10123,0.0782,0.12105
